,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stracc,f1_strdef,f1_subavg,f1_tdacc,f1_tdavg,f1_tddef,f1_weight,f1_dob,f1_wins,f1_losses,f1_cumtime,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stracc,f2_strdef,f2_subavg,f2_tdacc,f2_tdavg,f2_tddef,f2_weight,f2_dob,f2_wins,f2_losses,f2_cumtime
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,198.12,200.66,4.15,2.88,0.0,0.4,0.43,0.2,0.71,1.25,0.83,115.77000000000001,35.0,9.0,5.0,3275.0
0,193.04,203.2,1.79,3.78,0.0,0.6,0.63,1.1,0.65,1.62,0.76,120.31,37.0,27.0,12.0,7689.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,185.42,195.58,2.29,6.38,0.0,0.57,0.57,0.4,0.45,5.15,0.85,108.96000000000001,35.0,14.0,2.0,2794.0
0,182.88,186.350728762539,0.42,2.42,0.0,0.5,0.71,0.6,0.0,0.0,0.9,90.346,48.0,2.0,3.0,2058.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,182.88,187.96,1.0,3.18,0.0,0.51,0.63,1.9,0.63,2.0,0.82,104.42,41.0,23.0,3.0,5447.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,182.88,182.88,4.55,2.19,0.0,0.36,0.48,0.1,0.29,1.16,0.65,119.402,41.0,9.0,11.0,4487.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,198.12,200.66,4.15,2.88,0.0,0.4,0.43,0.2,0.71,1.25,0.83,115.77000000000001,35.0,9.0,5.0,3275.0
0,193.04,203.2,1.79,3.78,0.0,0.6,0.63,1.1,0.65,1.62,0.76,120.31,37.0,27.0,12.0,7689.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,190.5,195.58,2.4,1.95,0.0,0.42,0.55,2.4,0.29,1.3,0.36,108.96000000000001,41.0,23.0,9.0,7398.0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0
0,193.04,195.58,2.24,3.44,0.0,0.51,0.58,1.3,0.31,1.67,0.34,104.87400000000001,40.0,20.0,6.0,5693.0,190.5,191.70089734543214,1.87,0.94,0.0,0.47,0.25,6.2,0.6,4.68,1.0,127.12,40.0,3.0,2.0,1554.0
